session_id,start_ts,end_ts,duration_min,msgs,user_msgs,peer_msgs,top_intent,top_intent_p,top_topics,recent
sess_0001,2020-12-07T18:30:00,2020-12-07T19:25:00,55.0,9,3,6,short_reply,0.444,что:2;אוקיי:1;заебался:1,peer: “Воо” | peer: “От него все зависит”
sess_0002,2020-12-07T21:31:00,2020-12-07T22:11:00,40.0,15,4,11,short_reply,0.933,каеф:1;еду:1;работы:1,peer: “Курить почапали?” | user: “Зади за мной”
sess_0003,2020-12-08T08:19:00,2020-12-08T09:40:00,81.0,8,2,6,short_reply,0.75,пажилой:1;десигнер:1;хочу:1,peer: “Чисто я” | peer: “Муд на сегодня”
sess_0004,2020-12-08T21:12:00,2020-12-08T21:46:00,34.0,17,8,9,short_reply,0.588,ветру:2;якшимаш:1;трени:1,user: “<media>” | peer: “Ща у Вольфа спрошу”
sess_0005,2020-12-09T17:49:00,2020-12-09T18:14:00,25.0,3,2,1,statement,0.667,отвечаешь:1;хочешь:1;пойти:1,user: “Не хочешь пойти покурить?” | peer: “Я иду домой”
sess_0006,2020-12-09T20:22:00,2020-12-09T22:31:00,129.0,6,2,4,short_reply,0.667,роман:1;вам:1;пойдешь:1,user: “Если еще актуально” | peer: “Та поздно уже”
sess_0007,2020-12-11T18:20:00,2020-12-11T22:04:00,224.0,66,35,31,short_reply,0.561,что:5;как:4;брат:3,user: “В лифте” | peer: “Выхожу”
sess_0008,2020-12-12T18:08:00,2020-12-12T18:09:00,1.0,2,1,1,statement,1.0,поедешь:1;нами:1;бабули:1,"user: “Ты поедешь с нами?” | peer: “Не, я у бабули”"
sess_0009,2020-12-12T21:13:00,2020-12-12T22:53:00,100.0,9,4,5,short_reply,0.556,нет:2;везу:1;тоби:1,peer: “Я вас вижу” | user: “А мы тебя нет”
sess_0010,2020-12-13T09:13:00,2020-12-13T09:13:00,0.0,1,0,1,invite,1.0,курить:1,peer: “Пошли да курить”
sess_0011,2020-12-13T11:28:00,2020-12-13T11:29:00,1.0,5,3,2,short_reply,0.6,только:1;проснулся:1;брат:1,peer: “Хрони тебя Бох” | user: “А зачем звал”
sess_0012,2020-12-13T13:32:00,2020-12-13T17:16:00,224.0,17,4,13,short_reply,0.529,заходи:2;думал:1;ранняя:1,peer: “Заходи” | peer: “Канеш”
sess_0013,2020-12-14T18:31:00,2020-12-14T19:07:00,36.0,14,7,7,short_reply,0.5,так:2;впц:1;ближе:1,peer: “Тебя нет” | user: “Это так грусно”
sess_0014,2020-12-14T21:28:00,2020-12-14T22:43:00,75.0,14,7,7,short_reply,0.786,<media>:2;ничего:2;подал:1,user: “сижу зажег свечки” | peer: “Ща зайду”
sess_0015,2020-12-15T07:42:00,2020-12-15T08:53:00,71.0,11,2,9,short_reply,0.727,мистер:3;андерсон:3;зачем:2,peer: “Тяжело тебе” | user: “Очень”
sess_0016,2020-12-15T15:30:00,2020-12-15T15:30:00,0.0,2,0,2,short_reply,1.0,бирор:1;как:1,peer: “Бирор” | peer: “Как ты”
sess_0017,2020-12-15T21:22:00,2020-12-15T22:14:00,52.0,5,1,4,short_reply,0.8,брат:2;заебался:1;держись:1,peer: “Брат” | peer: “Ты дэ?”
sess_0018,2020-12-17T14:42:00,2020-12-17T18:29:00,227.0,25,10,15,short_reply,0.64,как:2;так:2;домой:2,user: “Всмысле?” | peer: “Ну да”
sess_0019,2020-12-17T21:18:00,2020-12-17T22:13:00,55.0,7,4,3,statement,0.571,<media>:2;скумброта:1;сижу:1,peer: “🤣” | user: “<media>”
sess_0020,2020-12-18T09:49:00,2020-12-18T10:38:00,49.0,8,3,5,statement,0.5,досмотрел:2;довод:1;крыса:1,peer: “Ты поэтому не досмотрел?” | user: “Может быть много факторов сложилось”
sess_0021,2020-12-18T14:30:00,2020-12-18T14:30:00,0.0,1,0,1,short_reply,1.0,<media>:1,peer: “<media>”
sess_0022,2020-12-18T18:00:00,2020-12-18T22:13:00,253.0,37,15,22,short_reply,0.486,свои:3;беды:3;<media>:2,peer: “Ты дома?” | peer: “Я зайду”
sess_0023,2020-12-19T09:50:00,2020-12-19T09:50:00,0.0,1,0,1,short_reply,1.0,пажилой:1;дизайнер:1,peer: “Ле пажилой дизайнер”
sess_0024,2020-12-19T13:48:00,2020-12-19T17:00:00,192.0,31,18,13,short_reply,0.452,как:4;радовать:3;нет:3,user: “Hand made as we speak” | peer: “🤣”
sess_0025,2020-12-19T19:14:00,2020-12-19T20:29:00,75.0,15,9,6,statement,0.467,you:2;deleted:2;this:2,peer: “Серьезно” | user: “Вот нашел кому верить”
sess_0026,2020-12-20T09:24:00,2020-12-20T09:24:00,0.0,2,0,2,statement,0.5,пажилой:1;воно:1,peer: “Ну шо ты пажилой” | peer: “Як воно”
sess_0027,2020-12-20T15:28:00,2020-12-20T16:48:00,80.0,2,1,1,short_reply,1.0,<media>:1;прикольно:1,peer: “<media>” | user: “Прикольно”
sess_0028,2020-12-22T08:03:00,2020-12-22T10:02:00,119.0,7,2,5,short_reply,0.571,палеозойский:1;работа:1;бабок:1,peer: “Рома-ювелир” | peer: “Ну бля”
sess_0029,2020-12-22T13:44:00,2020-12-22T14:21:00,37.0,7,1,6,short_reply,1.0,ебать:1;вторние:1;ебал:1,peer: “Ты пажилой” | peer: “Не забывай”
sess_0030,2020-12-22T19:32:00,2020-12-22T20:49:00,77.0,3,2,1,short_reply,1.0,<media>:1;фигма:1,user: “Фигма” | peer: “Да”
sess_0031,2020-12-23T10:13:00,2020-12-23T10:23:00,10.0,12,5,7,short_reply,0.667,как:3;пажилой:1;несмотря:1,peer: “Ну наканецта” | peer: “Красиво модно и в 3д”
sess_0032,2020-12-23T14:46:00,2020-12-23T14:47:00,1.0,5,3,2,statement,0.6,следующий:1;вторник:1;днем:1,user: “Если поебатся то незанят” | user: “Вроде пока нет”
