topic_id,df,label
<media>,2513,<media>
как,2493,как
что,1892,что
так,1636,так
конечно,954,конечно
нет,917,нет
все,894,все
блять,736,блять
типо,714,типо
или,623,или
если,523,если
шимен,511,шимен
может,483,может
только,482,только
еще,430,еще
вообще,422,вообще
пиздец,390,пиздец
прям,381,прям
для,352,для
когда,323,когда
ебать,322,ебать
нахуй,308,нахуй
понял,307,понял
где,291,где
про,284,про
думал,278,думал
чето,275,чето
нормально,272,нормально
чтобы,263,чтобы
думаю,255,думаю
знаешь,253,знаешь
знаю,248,знаю
даже,238,даже
брат,231,брат
чот,223,чот
понимаю,222,понимаю
почему,221,почему
будет,217,будет
интересно,216,интересно
ничо,213,ничо
хуй,212,хуй
хорошо,211,хорошо
вроде,210,вроде
потом,207,потом
кто,207,кто
хочу,206,хочу
нихуя,201,нихуя
потому,191,потому
без,185,без
раз,184,раз
дома,177,дома
сам,176,сам
какой,176,какой
могу,172,могу
чем,165,чем
понятно,165,понятно
наверное,164,наверное
ему,162,ему
всё,160,всё
чисто,157,чисто
кажется,155,кажется
ого,149,ого
больше,149,больше
делать,149,делать
смотрю,148,смотрю
низнаю,139,низнаю
знает,134,знает
день,133,день
чувак,132,чувак
хотел,128,хотел
хоть,128,хоть
похуй,128,похуй
сука,127,сука
сказал,127,сказал
смотрел,125,смотрел
скажи,121,скажи
оооо,121,оооо
него,119,него
себя,119,себя
сколько,119,сколько
прикольно,118,прикольно
вообщем,118,вообщем
хотя,117,хотя
думаешь,116,думаешь
теперь,116,теперь
зачем,115,зачем
жизнь,114,жизнь
сказать,113,сказать
целом,113,целом
чего,112,чего
посмотрел,112,посмотрел
именно,109,именно
нравится,107,нравится
после,107,после
работе,106,работе
хуйня,106,хуйня
норм,106,норм
аааа,105,аааа
работа,105,работа
деньги,104,деньги
них,103,них
шабат,103,шабат
значит,102,значит
этого,101,этого
иногда,99,иногда
ничего,99,ничего
время,98,время
один,98,один
дык,97,дык
можешь,96,можешь
начал,96,начал
лучше,95,лучше
какой-то,95,какой-то
говорит,94,говорит
правда,93,правда
говорю,91,говорю
ооо,90,ооо
https,90,https
видел,90,видел
оно,89,оно
посмотреть,88,посмотреть
этом,86,этом
куда,86,куда
лет,85,лет
иду,84,иду
хочется,84,хочется
какие,84,какие
люди,84,люди
пизда,83,пизда
взял,83,взял
того,83,того
сижу,83,сижу
помню,83,помню
весь,82,весь
дела,82,дела
реально,82,реально
нашел,81,нашел
давно,80,давно
всегда,79,всегда
пажилой,77,пажилой
через,77,через
самом,76,самом
знал,76,знал
дело,75,дело
главное,75,главное
купил,75,купил
написал,75,написал
работы,75,работы
домой,75,домой
сделать,75,сделать
вон,74,вон
нужно,74,нужно
стоит,73,стоит
немного,73,немного
вопрос,73,вопрос
хуя,72,хуя
всех,72,всех
<this,71,<this
утра,70,утра
под,70,под
поэтому,69,поэтому
такого,69,такого
работает,69,работает
смотри,69,смотри
всмысле,68,всмысле
человек,68,человек
пойду,68,пойду
каеф,68,каеф
игры,68,игры
деле,68,деле
короче,68,короче
говорят,67,говорят
работу,67,работу
подумал,67,подумал
каждый,66,каждый
решил,66,решил
тема,65,тема
сложно,65,сложно
ним,65,ним
охуеть,65,охуеть
ввиду,65,ввиду
неплохо,64,неплохо
шимон,63,шимон
проснулся,63,проснулся
никто,63,никто
неа,62,неа
сразу,61,сразу
особо,61,особо
охуел,61,охуел
всего,60,всего
плане,60,плане
смотреть,60,смотреть
правильно,60,правильно
жду,60,жду
делал,60,делал
часа,60,часа
охуенно,59,охуенно
какая,59,какая
нам,59,нам
рот,58,рот
бажен,58,бажен
странно,58,странно
видимо,57,видимо
работаю,57,работаю
this,57,this
хочешь,57,хочешь
еду,57,еду
людей,57,людей
заебался,56,заебался
обычно,56,обычно
получается,56,получается
круто,55,круто
кстати,55,кстати
стороны,55,стороны
видишь,55,видишь
этим,55,этим
устал,54,устал
раньше,54,раньше
кайф,54,кайф
кого,54,кого
красота,53,красота
забыл,53,забыл
минут,53,минут
вышел,53,вышел
понимаешь,53,понимаешь
исаак,52,исаак
работать,52,работать
деда,52,деда
том,52,том
надеюсь,52,надеюсь
общем,52,общем
купить,52,купить
кста,51,кста
дед,51,дед
you,51,you
которые,51,которые
часов,51,часов
откуда,51,откуда
сначала,50,сначала
сильно,50,сильно
пошел,50,пошел
какая-то,50,какая-то
што,50,што
вижу,50,вижу
штош,49,штош
пиздос,49,пиздос
ааааа,49,ааааа
всем,49,всем
чутка,49,чутка
что-то,49,что-то
год,49,год
года,49,года
слушай,48,слушай
вдруг,48,вдруг
пивка,48,пивка
говорил,48,говорил
нету,48,нету
дети,47,дети
зато,47,зато
жить,47,жить
deleted,47,deleted
спишь,47,спишь
пиво,47,пиво
мол,47,мол
понравилось,46,понравилось
ходил,46,ходил
видео,46,видео
пусть,46,пусть
дохуя,46,дохуя
самое,46,самое
какие-то,45,какие-то
другой,45,другой
точно,45,точно
месяц,45,месяц
хуле,45,хуле
тяжело,45,тяжело
который,45,который
чуть,45,чуть
первый,45,первый
пару,45,пару
причем,44,причем
люблю,44,люблю
мог,44,мог
сказали,44,сказали
играл,44,играл
жизни,44,жизни
увидел,44,увидел
бляяя,44,бляяя
делаешь,44,делаешь
имею,43,имею
приехал,43,приехал
новый,43,новый
израиль,43,израиль
бляяяя,43,бляяяя
