topic_id_norm,df,label
надо,977,надо
типо,880,типо
блять,820,блять
мож,726,мож
тоже,680,тоже
тебе,583,тебе
вообще,511,вообще
шимен,510,шимен
щас,485,щас
прям,483,прям
чтобы,482,чтобы
когда,478,когда
зна,464,зна
пиздец,455,пиздец
можно,417,можно
сам,396,сам
нахуй,391,нахуй
как,390,как
дел,376,дел
где,375,где
дум,348,дум
ебать,343,ебать
понял,341,понял
сказ,335,сказ
нормально,334,нормально
сдел,332,сдел
чето,327,чето
пот,320,пот
работа,316,работа
думаю,311,думаю
дела,287,дела
знаю,282,знаю
даже,278,даже
кто,274,кто
понимаю,263,понимаю
чот,259,чот
хуй,255,хуй
почему,253,почему
вроде,253,вроде
интересно,252,интересно
ничо,251,ничо
раз,248,раз
чем,243,чем
буд,241,буд
потому,239,потому
хочу,237,хочу
message,235,message
нихуя,233,нихуя
брат,229,брат
могу,228,могу
говор,221,говор
больше,221,больше
друг,220,друг
ему,220,ему
дома,217,дома
наверн,207,наверн
себя,206,себя
сейчас,193,сейчас
чисто,192,чисто
<this,190,<this
понятно,187,понятно
кажется,186,кажется
смотрю,186,смотрю
цел,185,цел
работ,184,работ
него,178,него
тогда,177,тогда
дума,175,дума
was,172,was
буду,167,буду
похуй,167,похуй
лет,163,лет
время,160,время
котор,158,котор
смотрел,154,смотрел
хотел,151,хотел
этого,151,этого
ого,149,ого
теперь,148,теперь
низнаю,147,низнаю
них,146,них
работе,144,работе
edited>,142,edited>
сколько,142,сколько
хоть,142,хоть
чувак,141,чувак
сука,141,сука
один,140,один
кайф,140,кайф
этот,139,этот
хотя,138,хотя
нравится,138,нравится
нач,138,нач
хоч,138,хоч
напис,137,напис
ничего,136,ничего
много,135,много
прикольно,135,прикольно
посмотрел,134,посмотрел
зач,134,зач
