topic_id_norm,df,label
шимен,508,шимен
брат,229,брат
чувак,125,чувак
жизнь,102,жизнь
шабат,94,шабат
работа,94,работа
деньги,85,деньги
игры,61,игры
бажен,55,бажен
пиво,44,пиво
дети,41,дети
израиль,36,израиль
жена,29,жена
рисовать,28,рисовать
немеш,27,немеш
ицик,26,ицик
магазин,22,магазин
казахстан,21,казахстан
семья,20,семья
алкоголь,20,алкоголь
тора,19,тора
давид,18,давид
ицхак,18,ицхак
москва,16,москва
кино,15,кино
еда,14,еда
вольф,14,вольф
хедер,11,хедер
дизайн,11,дизайн
саня,9,саня
искусство,9,искусство
религия,8,религия
верзуб,7,верзуб
борух,6,борух
музыка,5,музыка
иудаизм,5,иудаизм
ешива,5,ешива
вайсберг,5,вайсберг
кореш,3,кореш
гольдберг,2,гольдберг
гергель,2,гергель
белов,2,белов
балашов,2,балашов
княжевский,1,княжевский
ави,1,ави
