:START_ID(Fact),:END_ID(Topic),:TYPE
79ad87c900add25c80469d1ef5b989bdcc6393f8,социальные сети,HAS_TOPIC
79ad87c900add25c80469d1ef5b989bdcc6393f8,блокировка аккаунта,HAS_TOPIC
b7defc6281cdd758cc472ab364782a0e6a0044da,апелляция,HAS_TOPIC
b7defc6281cdd758cc472ab364782a0e6a0044da,социальные сети,HAS_TOPIC
06254196015243103c5d1eb2a23d3d463ef3b843,социальные сети,HAS_TOPIC
06254196015243103c5d1eb2a23d3d463ef3b843,блокировка аккаунта,HAS_TOPIC
927e8ccf01358b081a112ca7afaf133207fc5ffd,социальные сети,HAS_TOPIC
927e8ccf01358b081a112ca7afaf133207fc5ffd,правила,HAS_TOPIC
d3739bf183178fd465f66ebdde9e55e109e753cf,социальные сети,HAS_TOPIC
d3739bf183178fd465f66ebdde9e55e109e753cf,блокировка аккаунта,HAS_TOPIC
64f1e508a5f6e30b172d4780d14faa2fbb8f59ed,здоровье,HAS_TOPIC
64f1e508a5f6e30b172d4780d14faa2fbb8f59ed,физическое состояние,HAS_TOPIC
9202dcfe1c8fbb238f6b46dc3a541d3f8dbbd5fe,здоровье,HAS_TOPIC
9202dcfe1c8fbb238f6b46dc3a541d3f8dbbd5fe,физическое состояние,HAS_TOPIC
3c7e26f2e0c521d76e933e447df11da95b4255e0,здоровье,HAS_TOPIC
3c7e26f2e0c521d76e933e447df11da95b4255e0,эмоциональное состояние,HAS_TOPIC
80a119be161d8c3d427dd804d429ace4c09f30c8,социальные сети,HAS_TOPIC
80a119be161d8c3d427dd804d429ace4c09f30c8,отсутствие,HAS_TOPIC
021519e30520d25f67d41cd95f293ae33feb6263,социальные сети,HAS_TOPIC
021519e30520d25f67d41cd95f293ae33feb6263,блокировка,HAS_TOPIC
daab02da974c1c14c6344d5a74d664013ed307ed,поддержка,HAS_TOPIC
daab02da974c1c14c6344d5a74d664013ed307ed,трудности,HAS_TOPIC
2e66aea57a268a4ff1506a33ff1f257100cfefef,сон,HAS_TOPIC
2e66aea57a268a4ff1506a33ff1f257100cfefef,советы,HAS_TOPIC
0d932bc09ce7bf9e1e003a56daf776a7013f899e,недовольство,HAS_TOPIC
0d932bc09ce7bf9e1e003a56daf776a7013f899e,усталость,HAS_TOPIC
5be073236bf1b5f722ccf3c329c71b03fbe00279,поздравление,HAS_TOPIC
5be073236bf1b5f722ccf3c329c71b03fbe00279,восстановление,HAS_TOPIC
7b49a62b9da26437ad723b15f79469895a0e3d69,отношения,HAS_TOPIC
7b49a62b9da26437ad723b15f79469895a0e3d69,обращение,HAS_TOPIC
9f91f3a6e647c90de2b64beed8ac849ef7d4f571,встреча,HAS_TOPIC
