:START_ID(Fact),:END_ID(Entity),:TYPE
79ad87c900add25c80469d1ef5b989bdcc6393f8,Инстаграмм,REFERS_TO
06254196015243103c5d1eb2a23d3d463ef3b843,Инстаграмм,REFERS_TO
927e8ccf01358b081a112ca7afaf133207fc5ffd,Инстаграмм,REFERS_TO
d3739bf183178fd465f66ebdde9e55e109e753cf,Инстаграмм,REFERS_TO
021519e30520d25f67d41cd95f293ae33feb6263,Instagram,REFERS_TO
7884a6cddb6fb6e8c61e66fe05959f0691f31bdb,месифтэ,REFERS_TO
c9f0cfae9eb27430933845d6577f62d1786fa258,женя,REFERS_TO
412c6f1fb269a9dda6458807b4a3ce9a3b6a460c,довод,REFERS_TO
fb77e7d161ae8e5e78544b9d6666306c59965c04,довод,REFERS_TO
1730d503064e7fae9d3b5c463d5725655e6b0a3c,довод,REFERS_TO
b158f7903c1bcea1684a7dfc3a259cf2e99d10d3,Ицик,REFERS_TO
